# Points, l1Error, lInfError
1.410000000000000000e+02 2.837563616733942539e-03 2.675956333925207098e-02
3.050000000000000000e+02 9.463592656135751038e-04 1.219928520079942812e-02
6.550000000000000000e+02 6.414519084742426871e-04 1.267748525811857041e-02
1.407000000000000000e+03 2.652171805939146517e-04 7.400045388639217223e-03
2.975000000000000000e+03 1.526521291453762793e-04 6.188447929141298320e-03
5.417000000000000000e+03 8.141294358138494159e-05 3.947872482136225748e-03
8.011000000000000000e+03 4.049638310912871718e-05 2.457101981591287149e-03
1.049400000000000000e+04 2.187053128693912095e-05 1.901603201672536717e-03
1.283600000000000000e+04 1.042241284848662844e-05 1.100648028588625468e-03
1.524000000000000000e+04 5.479127198383437801e-06 7.499120477341613897e-04
1.768800000000000000e+04 2.953003175336804985e-06 4.371731239339810351e-04
