# Points, l1Error, lInfError
1.450000000000000000e+02 2.837563616733942539e-03 2.675956333925207098e-02
3.210000000000000000e+02 9.463592656135751038e-04 1.219928520079942812e-02
7.050000000000000000e+02 6.414519084742426871e-04 1.267748525811857041e-02
1.537000000000000000e+03 2.652171805939143806e-04 7.400045388639217223e-03
3.329000000000000000e+03 1.526449436553386412e-04 6.188447929141409343e-03
7.169000000000000000e+03 8.134965802951291472e-05 3.947898340010706254e-03
1.536100000000000000e+04 4.038506758961443418e-05 2.457112938928519147e-03
3.276900000000000000e+04 2.173619274137699676e-05 1.901651854326018428e-03
6.963300000000000000e+04 1.027405919367353446e-05 1.100736515734402829e-03
1.474570000000000000e+05 5.323593636234033874e-06 7.499430262059949334e-04
3.112970000000000000e+05 2.794142265497010944e-06 4.372420842813024358e-04
